Country,Fatal,value,freq
AUSTRALIA,Fatal (Y/N),Y,260
USA,Fatal (Y/N),Y,168
SOUTH AFRICA,Fatal (Y/N),Y,103
PAPUA NEW GUINEA,Fatal (Y/N),Y,45
MEXICO,Fatal (Y/N),Y,36
BRAZIL,Fatal (Y/N),Y,29
NEW ZEALAND,Fatal (Y/N),Y,22
PHILIPPINES,Fatal (Y/N),Y,21
CUBA,Fatal (Y/N),Y,20
MOZAMBIQUE,Fatal (Y/N),Y,17
NEW CALEDONIA,Fatal (Y/N),Y,14
FIJI,Fatal (Y/N),Y,13
INDONESIA,Fatal (Y/N),Y,12
ITALY,Fatal (Y/N),Y,11
GREECE,Fatal (Y/N),Y,9
HONG KONG,Fatal (Y/N),Y,7
SOLOMON ISLANDS,Fatal (Y/N),Y,6
BAHAMAS,Fatal (Y/N),Y,5
YEMEN ,Fatal (Y/N),Y,4
PACIFIC OCEAN,Fatal (Y/N),Y,3
IRAQ,Fatal (Y/N),Y,2
CARIBBEAN SEA,Fatal (Y/N),Y,1
