,Area,Year,Attacks in California
0,California,2015.0,13
1,California,2015.0,13
2,California,2018.0,1
56,California,2017.0,9
62,California,2017.0,9
107,California,2017.0,9
118,California,2017.0,9
119,California,2017.0,9
122,California,2017.0,9
147,California,2017.0,9
148,California,2017.0,9
171,California,2017.0,9
216,California,2016.0,7
226,California,2016.0,7
247,California,2016.0,7
251,California,2016.0,7
253,California,2016.0,7
273,California,2016.0,7
298,California,2016.0,7
347,California,2015.0,13
357,California,2015.0,13
362,California,2015.0,13
366,California,2015.0,13
367,California,2015.0,13
372,California,2015.0,13
373,California,2015.0,13
378,California,2015.0,13
380,California,2015.0,13
387,California,2015.0,13
413,California,2015.0,13
466,California,2014.0,9
474,California,2014.0,9
483,California,2014.0,9
492,California,2014.0,9
493,California,2014.0,9
494,California,2014.0,9
498,California,2014.0,9
534,California,2014.0,9
535,California,2014.0,9
614,California,2013.0,6
631,California,2013.0,6
632,California,2013.0,6
637,California,2013.0,6
660,California,2013.0,6
675,California,2013.0,6
725,California,2012.0,7
727,California,2012.0,7
733,California,2012.0,7
756,California,2012.0,7
768,California,2012.0,7
794,California,2012.0,7
796,California,2012.0,7
842,California,2011.0,5
846,California,2011.0,5
867,California,2011.0,5
905,California,2011.0,5
913,California,2011.0,5
977,California,2010.0,5
996,California,2010.0,5
1003,California,2010.0,5
1015,California,2010.0,5
1016,California,2010.0,5
1068,California,2009.0,11
1070,California,2009.0,11
1075,California,2009.0,11
1079,California,2009.0,11
1084,California,2009.0,11
1094,California,2009.0,11
1096,California,2009.0,11
1111,California,2009.0,11
1116,California,2009.0,11
1130,California,2009.0,11
1138,California,2009.0,11
1182,California,2008.0,5
1204,California,2008.0,5
1246,California,2008.0,5
1267,California,2008.0,5
1285,California,2008.0,5
1317,California,2007.0,9
1319,California,2007.0,9
1323,California,2007.0,9
1338,California,2007.0,9
1353,California,2007.0,9
1354,California,2007.0,9
1355,California,2007.0,9
1360,California,2007.0,9
1367,California,2007.0,9
1413,California,2006.0,4
1450,California,2006.0,4
1471,California,2006.0,4
1508,California,2006.0,4
1530,California,2005.0,5
1531,California,2005.0,5
1535,California,2005.0,5
1536,California,2005.0,5
1555,California,2005.0,5
1623,California,2004.0,8
1630,California,2004.0,8
1634,California,2004.0,8
1635,California,2004.0,8
1643,California,2004.0,8
1644,California,2004.0,8
1659,California,2004.0,8
1667,California,2004.0,8
1749,California,2003.0,2
1750,California,2003.0,2
1808,California,2002.0,3
1826,California,2002.0,3
1855,California,2002.0,3
1939,California,2001.0,2
1979,California,2001.0,2
1993,California,2000.0,2
2002,California,2000.0,2
